English/Pinyin,Original Language,Notes,GND,Chinese,Tibetan 1,Tibetan 2,Tibetan 3,Tibetan 4,Tibetan 5,Tibetan 6,Tibetan 7,Tibetan 8,Tibetan 9,Tibetan 10,Tibetan 11,Tibetan 12
Duṭṭhagāmaṇi,,,,度他伽摩尼王,དུ་ཏ་ག་མི་ན་,,,,,,,,,,,
Eden,Anthony Eden,,,艾登,ངད་ཏིང་,,,,,,,,,,,
Eisenhower,Dwight D. Eisenhower,,,艾森豪威爾,ངད་སྲན་ཧག་འུ་ཨར་,ཨའི་སིན་ཧའོ་ཝར་,,,,,,,,,,
Elizabeth,Elizabeth II,,,伊麗莎白,ཨི་ལི་ས་བེད་,,,,,,,,,,,
Engels,Friedrich Engels,,,恩格斯,ཨེན་གེལ་སི་,གིན་ཁེ་སི་,,,,,,,,,,
Fang Zhinan,方之南,,,方之南,ཧྥང་ཙི་ནན་,,,,,,,,,,,
Faxian,法顯,,,法顯,ཕཱ་ཧེན་,ཕ་ཝེན་,,,,,,,,,,
Feng Lianda,馮連達,,,馮連達,ཧྥུང་ལན་དར་,,,,,,,,,,,
Feuerbach,Ludwig Feuerbach,,,費爾巴哈,ཧྥཱའེར་པག་,,,,,,,,,,,
Galbraith,John Kenneth Galbraith,,,加爾布雷斯,གྷལ་བྷེ་རད་ཏ་,,,,,,,,,,,
Gao Feng,高峯,,,高峯,གོ་ཧྥུན་,,,,,,,,,,,
Gao Gang,高崗,,,高崗,ཀའོ་ཀང་,ཀོབ་ཀང་,ཀོ་ཀང་,,,,,,,,,
Gao Guoan,高國安,,,高國安,ཀོབ་གུའི་རྔན་,,,,,,,,,,,
Gao Langting,高朗亭,,,高朗亭,གོ་ལང་ཐིན་,,,,,,,,,,,
Gobind Singh,ਗੋਬਿੰਦ ਸਿੰਘ,,,戈賓德·辛格,གོ་བིནྡ་སིངྷ་,,,,,,,,,,,
Gong Fuheng,龔福恆,,,龔福恆,གུང་ཧྥུ་ཧིན་,,,,,,,,,,,
Gou Youliang,芶有良,,,芶有良,གུའི་གཡུའི་ལོན་,,,,,,,,,,,
Grotewohl,Otto Grotewohl,,,格羅提渥,གེ་ལོ་ཐིས་ཝོ་,གེ་ལོ་ཐེས་ཝོ་,,,,,,,,,,
Gu Zhenghong,顧正紅,,,顧正紅,གུ་དྲིན་ཧུན་,,,,,,,,,,,
Guo Feng,郭峯,,,郭峯,ཀོ་ཧྥུན་,,,,,,,,,,,
Guo Fengxiang,郭鳳祥,,,郭鳳祥,གོ་ཧྥུན་ཞང་,,,,,,,,,,,
Guo Liang,郭亮,,,郭亮,གོ་ལང་,,,,,,,,,,,
Guo Moruo,郭沫若,,https://explore.gnd.network/en/gnd/118568159,郭沫若,གོ་མོ་རའོ་,གོ་མོ་ཞོ་,ཀུའོ་མུ་རུའོ་,,,,,,,,,
Guoji Mugu,果基木古,,,果基木古,ཀའོ་ཅིའི་མུའུ་ཀུའུ་,,,,,,,,,,,
Hafungga,ᠬᠠᠹᠣᠩᠭ᠎ᠠ,,,哈豐阿,ཧ་ཕུའང་ཨའ་,,,,,,,,,,,
Hammarskjöld,Dag Hammarskjöld,,https://explore.gnd.network/en/gnd/118545388,哈馬舍爾德,ཧ་རྨ་ས་ཨར་ཏེ་,ཧའ་མའ་སིར་ཏེའེ་,,,,,,,,,,
Han Meiting ,韓梅亭,,,韓梅亭,ཧན་མིས་ཐིན་,ཧན་མེ་ཐིན་,,,,,,,,,,
Han Youlu,韓有祿,,,韓有祿,ཧན་ཡིག་ལོའུ་,,,,,,,,,,,
Harold Wilson,James Harold Wilson,,,哈羅德·威爾遜,ཧ་རོལ་ཝིལ་སོན་,,,,,,,,,,,
He Bangkui,何邦魁,,,何邦魁,ཧོ་པང་ཁུས་,,,,,,,,,,,
He Huiyan,何輝燕,,,何輝燕,ཧོ་ཧུའེ་ཡན་,,,,,,,,,,,
He Jingfu,賀景福,,,賀景福,ཧོའོ་ཅིན་ཕུའུ་,,,,,,,,,,,
Hearst,"William R. Hearst, Jr.",,,赫斯特,ཤེ་སི་ཐེ་,ཧེ་སི་ཐེ་,,,,,,,,,,
Ho Chi Minh,Hồ Chí Minh,,,胡志明,ཧོ་ཆི་མིན་,,,,,,,,,,,
Hoang Van Thu,Hoàng Văn Thụ ,,,黃文樹,ཧའང་འུན་ཧྲུའུ་,,,,,,,,,,,
Hout Tat,ហួត តាត,,,胡達,ཧུའུ་ཏཱ་,,,,,,,,,,,
Hu Shi,胡適,,,胡適,ཧུ་ཧྲི་,,,,,,,,,,,
Hu Yaobang,胡耀邦,,https://explore.gnd.network/en/gnd/118873199,胡耀邦,ཧུ་ཡའོ་པང་,,,,,,,,,,,
Hu Yun,胡芸,,,胡芸,ཧུ་ཡུན་,,,,,,,,,,,
Huang Jiguang,黃繼光,,,黃繼光,ཧུའང་ཅི་ཀུའང་,ཧོང་ཅི་ཀོང་,,,,,,,,,,
Huang Yanpei,黃炎培,,,黃炎培,ཧང་ཡན་ཕེལ་,,,,,,,,,,,
